name,price,quantity,product_id
Camera,553.33,29,1
Heater,718.04,60,2
Washer,606.74,93,3
Heater,549.43,66,4
Speaker,429.42,3,5
Fridge,649.44,94,6
Mirror,443.21,48,7
Mirror,892.86,65,8
Table,964.03,72,9
Bed,389.61,70,10
TV,793.81,28,11
Printer,533.61,67,12
Computer,572.36,65,13
Fan,926.34,5,14
Lamp,80.33,76,15
Chair,96.26,43,16
Washer,30.02,32,17
Chair,834.29,93,18
Dryer,780.38,85,19
Dryer,871.31,41,20
Dryer,978.83,6,21
Oven,801.17,68,22
Phone,466.86,24,23
Heater,782.72,30,24
Laptop,127.09,94,25
Chair,643.52,35,26
Chair,151.92,88,27
Phone,945.22,62,28
Printer,526.63,39,29
Dryer,420.52,52,30
Printer,271.91,56,31
Lamp,776.49,97,32
Oven,461.59,72,33
Speaker,572.75,81,34
Speaker,28.6,26,35
Speaker,621.46,47,36
Table,615.97,50,37
Speaker,620.76,49,38
Dryer,944.31,15,39
Camera,685.0,69,40
Mirror,365.91,63,41
Phone,442.66,5,42
Fan,700.65,28,43
Phone,69.62,45,44
Table,670.1,69,45
Fan,673.93,7,46
Fridge,218.28,43,47
Fridge,137.64,25,48
Microwave,322.27,57,49
Table,370.07,53,50
Microwave,574.49,48,51
Printer,444.22,49,52
Table,988.49,32,53
Printer,111.02,25,54
Bed,216.79,85,55
Mirror,169.7,55,56
Camera,656.58,5,57
Washer,260.76,39,58
Monitor,471.65,59,59
Mirror,251.98,60,60
TV,167.38,30,61
Computer,119.27,63,62
Phone,659.77,4,63
Printer,146.8,3,64
Phone,204.62,2,65
Phone,375.04,51,66
Fridge,822.78,15,67
Fan,106.13,30,68
Chair,839.57,62,69
Laptop,105.14,25,70
Printer,976.69,24,71
Monitor,473.96,89,72
Dryer,976.99,41,73
Monitor,608.8,5,74
Phone,741.87,15,75
Printer,48.8,65,76
Table,289.98,28,77
Chair,128.99,3,78
Printer,303.18,43,79
Camera,127.54,92,80
Fan,324.8,80,81
Bed,420.12,88,82
Phone,73.51,20,83
Camera,695.55,68,84
TV,570.94,25,85
Washer,272.74,83,86
TV,528.02,39,87
Chair,103.0,12,88
Monitor,580.19,1,89
Speaker,930.0,50,90
Bed,325.38,33,91
Dryer,670.74,95,92
Mirror,140.48,6,93
Bed,719.16,55,94
Camera,296.51,1,95
TV,191.36,59,96
Lamp,590.65,28,97
Camera,29.91,52,98
Bed,830.65,63,99
Printer,14.65,62,100
Printer,681.04,95,101
Bed,277.31,77,102
Speaker,737.84,60,103
Phone,962.57,39,104
Printer,256.27,47,105
Washer,580.4,32,106
Camera,596.12,51,107
Dryer,576.53,38,108
Phone,230.85,40,109
Oven,953.22,95,110
Heater,452.65,1,111
Phone,847.94,50,112
Washer,702.48,1,113
Computer,304.46,61,114
Fridge,815.66,27,115
Monitor,402.54,65,116
Phone,882.29,48,117
Computer,585.46,53,118
Washer,882.92,37,119
Fan,695.61,88,120
Dryer,728.0,58,121
Speaker,506.31,27,122
Microwave,956.52,56,123
Camera,647.55,58,124
Monitor,429.62,83,125
Bed,610.33,22,126
Phone,29.0,70,127
Printer,308.56,55,128
Washer,663.57,85,129
Camera,297.18,22,130
Fan,621.84,85,131
Camera,434.48,41,132
Microwave,144.12,15,133
Washer,305.3,70,134
TV,574.27,19,135
Camera,594.96,35,136
Printer,578.58,25,137
Table,656.67,75,138
Oven,655.58,15,139
Computer,437.1,75,140
Fridge,897.58,16,141
TV,373.89,24,142
Computer,441.51,66,143
Chair,893.0,63,144
Camera,808.13,32,145
Speaker,706.85,1,146
Microwave,109.22,45,147
TV,920.29,55,148
Camera,717.1,68,149
Speaker,998.86,66,150
Mirror,157.95,41,151
TV,869.44,25,152
Lamp,170.87,96,153
Fan,619.4,28,154
Fan,132.58,39,155
Mirror,849.53,50,156
Computer,809.25,84,157
Speaker,573.41,27,158
Mirror,413.11,13,159
Table,78.48,86,160
Microwave,700.45,58,161
Mirror,459.01,24,162
Microwave,724.84,42,163
Washer,867.72,34,164
TV,975.77,29,165
Bed,857.25,45,166
Fridge,21.6,87,167
Heater,366.38,76,168
Speaker,732.69,4,169
Printer,179.91,3,170
Dryer,525.83,52,171
Camera,63.79,92,172
Phone,208.0,88,173
Dryer,28.34,67,174
Lamp,795.76,66,175
Computer,231.69,65,176
Monitor,351.9,55,177
Computer,928.8,64,178
Fridge,707.37,26,179
Speaker,41.52,30,180
TV,173.05,98,181
Heater,625.26,91,182
Lamp,581.46,56,183
Camera,245.51,75,184
Microwave,934.87,23,185
Lamp,617.83,68,186
Chair,540.28,41,187
Computer,594.01,63,188
Mirror,732.82,27,189
Camera,318.83,55,190
Dryer,404.24,53,191
Microwave,217.75,82,192
Table,194.33,40,193
Camera,944.93,60,194
Chair,742.16,42,195
Speaker,495.55,14,196
Lamp,235.14,59,197
Heater,261.81,61,198
Mirror,67.45,74,199
Dryer,440.07,54,200
Dryer,318.68,6,201
Chair,699.38,92,202
Washer,383.97,95,203
Printer,187.81,90,204
Microwave,34.43,64,205
Bed,76.58,58,206
TV,682.6,35,207
Mirror,459.16,72,208
Lamp,541.21,30,209
Monitor,897.7,48,210
Laptop,990.44,45,211
Mirror,224.73,29,212
Mirror,666.45,2,213
Dryer,270.69,1,214
Speaker,30.44,50,215
Bed,760.79,9,216
Dryer,326.82,74,217
Phone,389.63,44,218
Computer,592.43,37,219
Dryer,832.74,93,220
Washer,632.69,94,221
Fan,873.92,33,222
Fridge,280.81,1,223
Camera,800.07,60,224
Camera,193.78,74,225
Dryer,953.26,43,226
Monitor,690.61,1,227
Printer,223.35,47,228
Fridge,947.9,33,229
Fridge,733.55,92,230
Phone,261.4,38,231
TV,221.18,24,232
Laptop,523.02,21,233
Heater,35.41,9,234
Chair,215.4,42,235
Speaker,430.44,15,236
Bed,380.43,65,237
Laptop,468.94,81,238
Table,284.85,81,239
Laptop,590.92,52,240
Camera,865.22,16,241
Chair,126.36,12,242
Computer,522.21,49,243
Table,140.75,12,244
Fridge,719.69,68,245
Table,402.1,99,246
Dryer,569.77,57,247
Camera,191.45,68,248
Chair,153.4,77,249
Computer,493.18,85,250
Table,362.06,35,251
Mirror,941.03,46,252
Lamp,767.67,16,253
Fridge,751.18,18,254
Lamp,904.68,77,255
Laptop,92.59,59,256
Washer,556.67,24,257
Speaker,588.63,78,258
Fan,962.32,80,259
TV,299.23,34,260
Chair,248.42,58,261
Microwave,109.29,74,262
Laptop,26.27,72,263
Fan,930.23,54,264
Table,673.22,34,265
Speaker,787.3,33,266
Printer,288.91,16,267
Computer,590.55,4,268
Fridge,73.32,28,269
TV,490.77,38,270
Bed,977.72,90,271
Lamp,877.74,50,272
Bed,344.78,48,273
Monitor,961.95,92,274
Table,239.38,90,275
Heater,949.83,3,276
Printer,941.96,55,277
Dryer,801.21,12,278
Laptop,634.14,13,279
Fridge,875.55,75,280
Chair,300.09,80,281
Fan,850.45,65,282
Laptop,621.7,76,283
Fan,23.1,12,284
Dryer,353.76,16,285
Heater,156.66,40,286
Table,982.01,83,287
Computer,483.59,55,288
Camera,502.42,62,289
Chair,643.08,57,290
Mirror,374.9,49,291
Oven,145.53,32,292
Camera,823.9,65,293
Heater,197.95,36,294
Heater,516.21,75,295
Speaker,232.07,82,296
Fridge,106.87,95,297
Heater,863.57,36,298
Washer,973.19,47,299
Fridge,961.23,91,300
Printer,907.49,91,301
Lamp,776.31,77,302
Microwave,339.81,38,303
Oven,90.29,84,304
Printer,413.17,71,305
Speaker,239.91,91,306
Speaker,141.16,55,307
Oven,62.89,68,308
Oven,728.34,27,309
Camera,21.31,3,310
Oven,772.87,42,311
Microwave,155.48,69,312
Monitor,88.73,75,313
Printer,98.71,32,314
Camera,675.33,73,315
Phone,252.91,39,316
Printer,426.33,20,317
Computer,561.8,17,318
Washer,861.95,84,319
Computer,729.77,16,320
Lamp,277.62,65,321
Camera,140.17,61,322
Mirror,64.82,71,323
Heater,308.58,15,324
Dryer,269.5,39,325
Washer,461.58,19,326
Table,686.45,53,327
Washer,698.67,95,328
Mirror,290.68,26,329
Camera,386.13,92,330
Microwave,189.34,42,331
Lamp,790.66,59,332
Computer,66.28,39,333
Camera,700.03,49,334
Lamp,780.91,88,335
Table,779.63,42,336
TV,266.83,55,337
Computer,380.08,85,338
Lamp,591.72,76,339
Speaker,280.09,92,340
Washer,377.14,86,341
Camera,205.08,2,342
Microwave,465.26,10,343
Chair,54.17,87,344
Computer,801.8,13,345
Washer,86.19,98,346
TV,523.65,49,347
Heater,313.74,54,348
Washer,581.77,70,349
Oven,959.84,57,350
Computer,649.11,60,351
Printer,45.01,93,352
Lamp,436.1,30,353
Microwave,514.92,3,354
Phone,540.82,31,355
Heater,684.58,35,356
Speaker,284.82,59,357
Computer,137.57,77,358
Chair,398.75,86,359
Camera,956.84,77,360
Phone,195.26,81,361
Speaker,904.94,88,362
Fan,548.37,75,363
Computer,462.34,81,364
Speaker,883.22,86,365
Speaker,464.02,90,366
Mirror,726.93,20,367
Mirror,405.04,99,368
Oven,905.0,24,369
Lamp,693.12,17,370
Speaker,702.63,33,371
Laptop,334.44,66,372
